model,before_macro_f1,after_macro_f1,delta_pp
TF-IDF LR,0.7575785024154589,0.8243985873335128,6.682008491805391
Concat CNN+Text,0.7635251883516173,0.8008818091309913,3.735662077937396
Consistency CNN+Text,0.7639555761798352,0.7924710577577879,2.8515481577952695
ResNet50 fusion,0.7461873018631676,0.7979927854566236,5.180548359345593
Image-only CNN,0.5544411040218336,0.6009249666137477,4.648386259191417
