model,domain,n,fake_%,accuracy,macro_f1,precision_macro,recall_macro
Original TF-IDF Logistic Regression,gossipcop,1001,50.05,0.7652347652347652,0.765226330261037,0.7652613087395697,0.7652295409181638
Original TF-IDF Logistic Regression,politifact,105,40.95,0.7047619047619048,0.660265108026302,0.720679012345679,0.6609152288072018
Original Multimodal Fusion,gossipcop,1001,50.05,0.7562437562437563,0.7555584912609389,0.7592594836010629,0.7562974051896207
Original Multimodal Fusion,politifact,105,40.95,0.7142857142857143,0.6567131647776809,0.7640758873929008,0.6618529632408102
