family,model,architecture,image_backbone,data_policy,optimizer,learning_rate,weight_decay,dropout,latent_dim,image_size,batch_size,epochs,trainable_params,val_accuracy,val_macro_f1,val_precision_macro,val_recall_macro,test_accuracy,test_macro_f1,test_precision_macro,test_recall_macro,status,best_epoch,checkpoint,run
classical_text,"TF-IDF + Multinomial NB | max_features=512, alpha=1.0",,,text_title_only_source_excluded,liblinear/hinge/closed_form,,,,,,,,,0.7447963800904978,0.7437973992488474,0.7467320261437909,0.743942641054377,0.7450271247739603,0.7433274958523162,0.7491812810779019,0.7438998063638267,completed,,,
classical_text,"TF-IDF + Multinomial NB | max_features=1024, alpha=1.0",,,text_title_only_source_excluded,liblinear/hinge/closed_form,,,,,,,,,0.7438914027149321,0.7434072277412139,0.7444794485373996,0.7433642673168046,0.7540687160940326,0.7532934446019,0.7556369636963696,0.7533559242202219,completed,,,
classical_text,"TF-IDF + Multinomial NB | max_features=512, alpha=0.5",,,text_title_only_source_excluded,liblinear/hinge/closed_form,,,,,,,,,0.7438914027149321,0.7429178371277235,0.7457360668446895,0.7430529613390744,0.7468354430379747,0.745222510719939,0.7507911392405063,0.7457380416579443,completed,,,
classical_text,"TF-IDF + Linear SVM | max_features=512, C=1.0",,,text_title_only_source_excluded,liblinear/hinge/closed_form,,,,,,,,,0.7429864253393665,0.7427839851024208,0.7430198757193383,0.7427236323836863,0.7495479204339964,0.7494198890734666,0.7495213596331897,0.7493785325518107,completed,,,
classical_text,"TF-IDF + Multinomial NB | max_features=1024, alpha=0.1",,,text_title_only_source_excluded,liblinear/hinge/closed_form,,,,,,,,,0.7429864253393665,0.7424800430649651,0.7436169722353932,0.742443457003729,0.7540687160940326,0.7532424495956166,0.7557896057915874,0.7533264862884657,completed,,,
neural_text,Text-only MLP | AdamW wd=1e-4,text_only_mlp,none,all_samples_with_placeholder,AdamW,0.001,0.0001,0.35,128.0,128.0,16.0,5.0,164994.0,0.7429864253393665,0.7420380490178671,0.744742507037589,0.742163281623772,0.7314647377938517,0.7302897511878985,0.7336525108298284,0.7305840485660456,completed,3.0,best_final_trial_Text-only_MLP_AdamW_wd_1e-4.pt,
classical_text,"TF-IDF + Multinomial NB | max_features=1024, alpha=0.5",,,text_title_only_source_excluded,liblinear/hinge/closed_form,,,,,,,,,0.7411764705882353,0.7406239535662462,0.7418954713475261,0.7406018363775781,0.755877034358047,0.75505684334859,0.7576159902768971,0.7551352836508269,completed,,,
classical_text,"TF-IDF + Linear SVM | max_features=512, C=3.0",,,text_title_only_source_excluded,liblinear/hinge/closed_form,,,,,,,,,0.7384615384615385,0.7382686200184407,0.7384708498996182,0.7382129726116278,0.7513562386980108,0.7512079685433294,0.7513576771363569,0.7511578919824158,completed,,,
neural_multimodal,Custom ConvNet fusion valid-images-only | AdamW wd=1e-4,fusion,custom_convnet,valid_images_only,AdamW,0.001,0.0001,0.35,128.0,128.0,16.0,5.0,242306.0,0.7245901639344262,0.7238301587814895,0.7251623376623376,0.7237674238513164,0.7130872483221476,0.7118534330425932,0.7137331634510375,0.7117601974685257,completed,5.0,best_final_trial_Custom_ConvNet_fusion_valid-images-only_AdamW_wd_1e-4.pt,
neural_multimodal,Inception-v3 fusion | AdamW wd=1e-4,fusion,inception_v3,all_samples_with_placeholder,AdamW,0.0003,0.0001,0.35,128.0,299.0,4.0,0.0,,,,,,,,,,skipped_by_config,,,False
neural_multimodal,Vision Transformer ViT-B/16 fusion | AdamW wd=1e-4,fusion,vit_b_16,all_samples_with_placeholder,AdamW,0.0001,0.0001,0.35,128.0,224.0,2.0,0.0,,,,,,,,,,skipped_by_config,,,False
